Marktleistung,Verrechnungsbetrag,Periode,year
Arbeitsplatz Software Schale 3,0.0,2021.01,2018
Arbeitsplatz Software Schale 3,75.0,2021.01,2018
Arbeitsplatz Software Schale 3,75.0,2021.01,2018
Arbeitsplatz Software Schale 3,125.0,2021.01,2018
Arbeitsplatz Software Schale 3,150.0,2021.01,2018
Arbeitsplatz Software Schale 3,0.0,2021.01,2018
Arbeitsplatz Software Schale 3,293850.0,2021.01,2018
Software Schale 3a,0.0,2021.01,2018
Software Schale 3a,0.0,2021.01,2018
RAS-Wartung,660.0,2021.01,2018
Arbeitsplatz Software Schale 2,154700.0,2021.01,2018
Arbeitsplatz Software Schale 2,0.0,2021.01,2018
Arbeitsplatz Software Schale 2,20881.0,2021.01,2018
Arbeitsplatz Software Schale 2,798.0,2021.01,2018
Arbeitsplatz Software Schale 2,240.0,2021.01,2018
Arbeitsplatz Software Schale 2,94204.0,2021.01,2018
Arbeitsplatz Software Schale 2,532.0,2021.01,2018
Arbeitsplatz Software Schale 2,251230.0,2021.01,2018
Arbeitsplatz Software Schale 2,5175.0,2021.01,2018
Arbeitsplatz Software Schale 2,10.0,2021.01,2018
Arbeitsplatz Software Schale 2,2926.0,2021.01,2018
Arbeitsplatz Software Schale 2,3192.0,2021.01,2018
Arbeitsplatz Software Schale 2,58919.0,2021.01,2018
Arbeitsplatz Software Schale 2,58919.0,2021.01,2018
Arbeitsplatz Software Schale 2,399.0,2021.01,2018
Arbeitsplatz Software Schale 2,94563.0,2021.01,2018
Arbeitsplatz Software Schale 2,140850.0,2021.01,2018
Arbeitsplatz Software Schale 2,25.0,2021.01,2018
Arbeitsplatz Software Schale 2,154800.0,2021.01,2018
Arbeitsplatz Software Schale 2,0.0,2021.01,2018
Arbeitsplatz Software Schale 2,1064.0,2021.01,2018
Arbeitsplatz Software Schale 2,98819.0,2021.01,2018
Arbeitsplatz Software Schale 2,520.0,2021.01,2018
Arbeitsplatz Software Schale 2,1729.0,2021.01,2018
Secure Messaging Extern,0.0,2021.01,2018
Secure Messaging Extern,36.0,2021.01,2018
Secure Messaging Extern,0.0,2021.01,2018
